has_preamble,preamble_text,question,answer,subject,subject_topic,form,difficulty,question_type
No,None,"A 1 kg object is dropped from a height of 10 m. Find the speed of the object when it hits the ground.
 Clue 1: The speed of the object is related to the height by the equation $v^{2}=2 g h$, where $g$ is the acceleration due to gravity and $h$ is the height.
 Clue 2: The acceleration due to gravity is $9.8 \mathrm{~m} \mathrm{~s}^{-2}$.
 Clue 3: The height is $10 \mathrm{~m}$.
 Clue 4: Solve the equation for $v$.",$4 \mathrm{~m} \mathrm{~s}^{-1}$<|end_of_text|>,Physics,,,,5
No,None,What do you call a person who studies the effects of the sun's rays on the earth?,Solar physicist<|end_of_text|>,,,,,1
No,None,"A person who weighs $50 \mathrm{~kg}$ on the surface of the earth weighs $10 \mathrm{~kg}$ on the surface of the moon. Find the acceleration due to gravity on the surface of the moon.
 Clue 1: $10 \mathrm{~kg}$ is the mass of the person on the moon
 Clue 2: $50 \mathrm{~kg}$ is the mass of the person on the earth
 Clue 3: $10 \mathrm{~kg}$ is $10 \%$ of $50 \mathrm{~kg}$
 Clue 4: The acceleration due to gravity on the surface of the moon is $10 \%$ of that on the surface of the earth",$10 \%$ of $10 \mathrm{~ms}^{-2}=1 \mathrm{~ms}^{-2}$<|end_of_text|>,Physics,,,,5
No,None,"A person who weighs $50 \mathrm{~kg}$ on the surface of the earth weighs $10 \mathrm{~kg}$ on the surface of the moon. Find the acceleration due to gravity on the surface of the moon.
 Clue 1: $10 \mathrm{~kg}$ is the mass of the person on the moon
 Clue 2: $50 \mathrm{~kg}$ is the mass of the person on the earth
 Clue 3: $10 \mathrm{~kg}$ is $10 \%$ of $50 \mathrm{~kg}$
 Clue 4: The acceleration due to gravity on the surface of the moon is $10 \%$ of that on the surface of the earth",$10 \%$ of $10 \mathrm{~ms}^{-2}=1 \mathrm{~ms}^{-2}$<|end_of_text|>,Physics,,,,5
No,None,"Name the device that measures the intensity of light at a point.
 Clue 1: It has a small circular opening.
 Clue 2: It has a circular scale around the opening.
 Clue 3: It is used to measure the brightness of the stars.
 Clue 4: It is used to measure the brightness of the sun.",Photometer<|end_of_text|>,,,,,5
No,None,"What is the acceleration of a body of mass 2 kg falling under gravity from rest at a height of 10 m?
 Clue 1: The acceleration is 10 m/s2.
 Clue 2: The force on the body is 20 N.
 Clue 3: The force is equal to the mass times the acceleration.
 Clue 4: Hence the acceleration is 20 N/2 kg = 10 m/s2.",10 m/s2<|end_of_text|>,Physics,,,,5
No,None,"A uniform circular disc of radius $0.2 \mathrm{~m}$ is free to rotate about its centre. It is held in a vertical plane and released from rest when it is $60 \mathrm{~cm}$ above the horizontal. Find the angular speed of the disc when it reaches the horizontal position.
 Clue 1: Use conservation of energy.
 Clue 2: Find the initial potential energy.
 Clue 3: Find the final kinetic energy.
 Clue 4: Find the angular speed from the kinetic energy.",$3 \mathrm{rad} \mathrm{~s}^{-1}$,,,,,5
No,None,"The first phylum of the animal kingdom
 Clue 1: It is the most primitive phylum
 Clue 2: It is the most diverse phylum
 Clue 3: It is the largest phylum
 Clue 4: It has the most species",Porifera<|end_of_text|>,,,,,5
No,None,"What do you call the process by which a plant cell produces a cell wall?
 Clue 1: The process is called
 Clue 2: The cell wall is made of
 Clue 3: The cell wall is made of
 Clue 4: The cell wall is made of",Cellulose<|end_of_text|>,Biology,,,,5
No,None,"What do you call the process by which a plant cell produces a cell wall?
 Clue 1: The process is called
 Clue 2: The cell wall is made of
 Clue 3: The cell wall is made of
 Clue 4: The cell wall is made of",Cellulose<|end_of_text|>,Biology,,,,5
No,None,"What do you call the process by which a plant cell produces a cell wall?
 Clue 1: The process is called
 Clue 2: The cell wall is made of
 Clue 3: The cell wall is made of
 Clue 4: The cell wall is made of",Cellulose<|end_of_text|>,Biology,,,,5
No,None,"What name is given to the type of plant tissue that is made up of dead cells?
 Clue 1: It is the outermost layer of the plant body
 Clue 2: It is made up of dead cells
 Clue 3: It protects the plant
 Clue 4: It is found in all plants",Epidermis<|end_of_text|>,Biology,,,,5
No,None,"What name is given to the type of plant tissue that is made up of dead cells?
 Clue 1: It is the outermost layer of the plant body
 Clue 2: It is made up of dead cells
 Clue 3: It protects the plant
 Clue 4: It is found in all plants",Epidermis<|end_of_text|>,Biology,,,,5
No,None,What part of the body is most affected by the heart?,The circulatory system<|end_of_text|>,,,,,1
No,None,"What is the name given to a structure that is a part of the cell wall of a plant cell?
 Clue 1: A cell wall is made up of a polymer of glucose units.
 Clue 2: The cell wall is not as strong as the cell membrane.
 Clue 3: The cell wall is made up of a variety of substances including cellulose.
 Clue 4: The cell wall is a part of the cell wall of a plant cell.",Cellulose<|end_of_text|>,,,,,5
No,None,"Name the first stage of a cell cycle
 Clue 1: The cell is not dividing
 Clue 2: The cell is not undergoing mitosis
 Clue 3: The cell is not in interphase
 Clue 4: The cell is in the resting stage",G0<|end_of_text|>,,,,,5
No,None,The name of the plant cell organelle where starch is stored is derived from the Greek word for 'grain',Amyloplast<|end_of_text|>,Biology,,,,1
No,None,"A type of plant cell that has a large central vacuole.
 Clue 1: It is found in leaves and fruits.
 Clue 2: It is the main type of cell in the mesophyll of leaves.
 Clue 3: It has a prominent nucleus.
 Clue 4: It has a prominent nucleus and a central vacuole.",Parenchyma<|end_of_text|>,,,,,5
No,None,What is the name of the organ that consists of the heart and the blood vessels?,Circulatory system<|end_of_text|>,,,,,1
No,None,What is the name given to the part of the leaf where the veins join to form a net?,Petiole<|end_of_text|>,,,,,1
No,None,What is the name given to the part of the leaf where the veins join to form a net?,Petiole<|end_of_text|>,,,,,1
No,None,"A bird is an example of a flying animal. What is a flying reptile?
 Clue 1: It is a member of the order Pterosauria.
 Clue 2: It is a flying reptile.
 Clue 3: It is not a bird.
 Clue 4: It is not a bat.",Pterosaur<|end_of_text|>,Biology,,,,5
No,None,What is the name given to the membrane that surrounds the cell?,Cell membrane<|end_of_text|>,Biology,,,,1
No,None,What is the name given to the membrane that surrounds the cell?,Cell membrane<|end_of_text|>,Biology,,,,1
No,None,"Name the organ of the human body that is responsible for the detection of sound.
 Clue 1: The organ consists of a series of tubular structures that are filled with fluid
 Clue 2: The organ is located in the head
 Clue 3: The organ is also responsible for the detection of pressure
 Clue 4: The organ is lined with cells that are sensitive to pressure changes in the fluid",The ear<|end_of_text|>,Biology,,,,5
No,None,"A certain species of animal has a life cycle in which it produces only male offspring. What kind of reproduction does this species practice?
 Clue 1: It is not sexual
 Clue 2: It is not asexual
 Clue 3: It is not parthenogenesis
 Clue 4: It is not apomixis",Agamogenesis<|end_of_text|>,,,,,5
No,None,"The name of a species of bird is derived from the name of a plant. What is the name of the plant?
 Clue 1: The bird feeds on the fruits of the plant.
 Clue 2: The bird is a seed disperser of the plant.
 Clue 3: The bird is a frugivore.
 Clue 4: The plant is a member of the family Euphorbiaceae.",The plant is a member of the genus Ricinus.<|end_of_text|>,,,,,5
No,None,"What name is given to the region of the cell where ribosomes are found?
 Clue 1: The name is derived from the name of a cell organelle
 Clue 2: The name is derived from the name of a cell organelle
 Clue 3: The name is derived from the name of a cell organelle
 Clue 4: The name is derived from the name of a cell organelle",Nucleolus<|end_of_text|>,,,,,5
No,None,What is the name given to the process by which plants take up water through their roots?,Osmosis<|end_of_text|>,,,,,1
No,None,The part of the eye that is sensitive to light.,Retina<|end_of_text|>,,,,,1
No,None,Clue: A bird's beak is adapted for eating insects.,Tarsus<|end_of_text|>,,,,,5
No,None,"What name is given to the process by which the spermatozoon is released from the testis?
 Clue 1: The process is triggered by the hormone
 Clue 2: The hormone is released in response to the action of light on the retina
 Clue 3: The hormone is secreted by the pineal gland
 Clue 4: The process is called",Spermatogenesis<|end_of_text|>,,,,,5
No,None,"What is the name of the part of a flower where the petals are attached to the receptacle?
 Clue 1: The stamens are attached to it
 Clue 2: It is located between the petals and the ovary
 Clue 3: It is the part where the flower becomes a fruit
 Clue 4: It is the part where the flower becomes a seed",Hypanthium<|end_of_text|>,,,,,5
No,None,What is the name of the process whereby the male sperm and the female egg unite to form a zygote?,Fertilization<|end_of_text|>,Biology,,,,1
No,None,"Name the process by which a plant obtains its food.
 Clue 1: It is the process of photosynthesis.
 Clue 2: It occurs in the leaves.
 Clue 3: It occurs in the presence of sunlight.
 Clue 4: It occurs in the presence of carbon dioxide.",Photosynthesis<|end_of_text|>,Biology,,,,5
No,None,"Name the process by which a plant obtains its food.
 Clue 1: It is the process of photosynthesis.
 Clue 2: It occurs in the leaves.
 Clue 3: It occurs in the presence of sunlight.
 Clue 4: It occurs in the presence of carbon dioxide.",Photosynthesis<|end_of_text|>,Biology,,,,5
No,None,"What is the name given to the arrangement of chromosomes in the nucleus of a cell?
 Clue 1: The chromosomes are arranged in pairs
 Clue 2: The chromosomes are arranged in a definite order
 Clue 3: The chromosomes are arranged in the nucleus of a cell at the time of cell division
 Clue 4: The chromosomes are arranged in the nucleus of a cell at the time of cell division",Karyotype<|end_of_text|>,,,,,5
No,None,"Name the organ system that produces gametes
 Clue 1: The male organ system is the
 Clue 2: The female organ system is the
 Clue 3: The male organ system is called the
 Clue 4: The female organ system is called the",Reproductive system<|end_of_text|>,,,,,5
No,None,"What is the name of the part of the eye that is responsible for the accommodation of the lens for near and far objects?
 Clue 1: It is the part that allows the eye to focus on near objects
 Clue 2: It is the part that allows the eye to focus on far objects
 Clue 3: It is the part that allows the eye to focus on objects at different distances
 Clue 4: It is the part that allows the eye to focus on objects at different distances",Ciliary muscle<|end_of_text|>,,,,,5
No,None,"What is the name of the part of the eye that is responsible for the accommodation of the lens for near and far objects?
 Clue 1: It is the part that allows the eye to focus on near objects
 Clue 2: It is the part that allows the eye to focus on far objects
 Clue 3: It is the part that allows the eye to focus on objects at different distances
 Clue 4: It is the part that allows the eye to focus on objects at different distances",Ciliary muscle<|end_of_text|>,,,,,5
No,None,"What is the name of the part of the eye that is responsible for the accommodation of the lens for near and far objects?
 Clue 1: It is the part that allows the eye to focus on near objects
 Clue 2: It is the part that allows the eye to focus on far objects
 Clue 3: It is the part that allows the eye to focus on objects at different distances
 Clue 4: It is the part that allows the eye to focus on objects at different distances",Ciliary muscle<|end_of_text|>,,,,,5
No,None,"Name the type of cell found in the wall of the conducting tissues of plants.
 Clue 1: They are dead cells.
 Clue 2: They are responsible for the conduction of water and minerals.
 Clue 3: They are dead because they lack nuclei and mitochondria.
 Clue 4: They are present in the xylem and phloem.",Sclerenchyma cells<|end_of_text|>,,,,,5
No,None,"Name the type of cell found in the wall of the conducting tissues of plants.
 Clue 1: They are dead cells.
 Clue 2: They are responsible for the conduction of water and minerals.
 Clue 3: They are dead because they lack nuclei and mitochondria.
 Clue 4: They are present in the xylem and phloem.",Sclerenchyma cells<|end_of_text|>,,,,,5
No,None,"Name the type of cell found in the wall of the conducting tissues of plants.
 Clue 1: They are dead cells.
 Clue 2: They are responsible for the conduction of water and minerals.
 Clue 3: They are dead because they lack nuclei and mitochondria.
 Clue 4: They are present in the xylem and phloem.",Sclerenchyma cells<|end_of_text|>,,,,,5
No,None,"Name the type of cell found in the wall of the conducting tissues of plants.
 Clue 1: They are dead cells.
 Clue 2: They are responsible for the conduction of water and minerals.
 Clue 3: They are dead because they lack nuclei and mitochondria.
 Clue 4: They are present in the xylem and phloem.",Sclerenchyma cells<|end_of_text|>,,,,,5
No,None,"What do you call a plant that has leaves, roots, stems, flowers, and fruit, but does not reproduce?",A flower<|end_of_text|>,,,,,1
No,None,The phloem of plants is similar to the white of an egg.,Both are composed of cells that are dead at maturity.<|end_of_text|>,Biology,,,,1
No,None,"What is the name given to the small, toothed structure in the wall of a cell, which acts as a receptor for the cell?
 Clue 1: It is also known as a receptor.
 Clue 2: It is a site of attachment for molecules that bind to the receptor.
 Clue 3: It is the site of action of many hormones.
 Clue 4: It is also the site of attachment for some toxins.",Receptor<|end_of_text|>,Biology,,,,5
No,None,"What is the name given to the part of the plant where the stem and root meet?
 Clue 1: The place where the stem and root meet is called the
 Clue 2: Where the stem and root meet, the stem becomes the root.
 Clue 3: The stem becomes the root at the
 Clue 4: The stem becomes the root at the",Root-Stock<|end_of_text|>,Biology,,,,5
No,None,"What is the name given to the process by which a cell divides?
 Clue 1: The name is derived from a Greek word
 Clue 2: The word means 'to cut' or 'to split'
 Clue 3: The word is a noun
 Clue 4: The word is a single word",Mitosis<|end_of_text|>,Biology,,,,5
No,None,"What does the following sentence mean?
 Clue 1: A plant is an organism that is not an animal.
 Clue 2: A plant is an organism that is not a fungus.
 Clue 3: A plant is an organism that is not a bacterium.
 Clue 4: A plant is an organism that is not a virus.",A plant is a eukaryote.<|end_of_text|>,,,,,5
No,None,The first part of the name of the plant is derived from the Latin word for a type of tree.,Pine<|end_of_text|>,Biology,,,,1
No,None,Name the part of the leaf that has the main vein.,Midrib<|end_of_text|>,,,,,1
No,None,"A common name for the most abundant organic compound in living organisms is
 Clue 1: The name is a Greek word meaning ""fat""
 Clue 2: It is also called ""fatty acid""
 Clue 3: It is a monomer of fats and oils
 Clue 4: It is a carboxylic acid",Lipid<|end_of_text|>,,,,,5
No,None,Name the process by which the cytoplasm of a cell is broken down and the cell dies.,Autolysis<|end_of_text|>,Biology,,,,1
No,None,Name the process by which the cytoplasm of a cell is broken down and the cell dies.,Autolysis<|end_of_text|>,Biology,,,,1
No,None,"A type of stem cell that can become any kind of cell in the body
 Clue 1: The name is derived from a Greek word
 Clue 2: The stem cells are found in the bone marrow
 Clue 3: The stem cells have the capacity to self-renew
 Clue 4: The stem cells are the only cells that can give rise to all types of blood cells",Pluripotent stem cell<|end_of_text|>,Biology,,,,5
No,None,"The term ""reproduction"" is not limited to the process of producing offspring.",True<|end_of_text|>,Biology,,,,4
No,None,What is the name of the first stage of the life cycle of a butterfly?,Egg<|end_of_text|>,,,,,1
No,None,"What is the name of the most common type of cell wall in plants?
 Clue 1: It is made up of cellulose.
 Clue 2: It is a type of secondary wall.
 Clue 3: It is not found in bacteria.
 Clue 4: It is found in most plants.",Secondary cell wall<|end_of_text|>,,,,,5
No,None,What name is given to the small projections on the surface of the leaf?,Stomata<|end_of_text|>,Biology,,,,1
No,None,What is the name given to the point where the optic nerve leaves the eye?,Optic disc<|end_of_text|>,,,,,1
No,None,"A certain species of fish is able to survive in water with a pH of 5.0. What type of adaptation does this species have that enables it to survive in such an environment?
 Clue 1: It is a property of some organisms that enables them to survive in environments that would be harmful to most organisms.
 Clue 2: It is a property of organisms that enables them to tolerate extremes of temperature, pH, salinity, etc.
 Clue 3: It is a property that enables organisms to survive in extreme conditions.
 Clue 4: It is a property of some organisms that enables them to survive in conditions that would be harmful to most organisms.",Tolerance<|end_of_text|>,,,,,5
No,None,"A certain species of fish is able to survive in water with a pH of 5.0. What type of adaptation does this species have that enables it to survive in such an environment?
 Clue 1: It is a property of some organisms that enables them to survive in environments that would be harmful to most organisms.
 Clue 2: It is a property of organisms that enables them to tolerate extremes of temperature, pH, salinity, etc.
 Clue 3: It is a property that enables organisms to survive in extreme conditions.
 Clue 4: It is a property of some organisms that enables them to survive in conditions that would be harmful to most organisms.",Tolerance<|end_of_text|>,,,,,5
No,None,"What is the name of the structure in the human body that allows the heart to beat?
 Clue 1: It is made of fibrous tissue
 Clue 2: It is a muscular structure
 Clue 3: It is a hollow structure
 Clue 4: It is a chambered structure",Heart<|end_of_text|>,,,,,5
No,None,"The endosperm is the product of the union of the egg and the _____________.
 Clue 1: The male gamete
 Clue 2: The pollen grain
 Clue 3: The pollen tube
 Clue 4: The sperm",pollen grain<|end_of_text|>,Biology,,,,5
No,None,"The endosperm is the product of the union of the egg and the _____________.
 Clue 1: The male gamete
 Clue 2: The pollen grain
 Clue 3: The pollen tube
 Clue 4: The sperm",pollen grain<|end_of_text|>,Biology,,,,5
No,None,"Clue 1: A type of plant that is found in the wetlands.
 Clue 2: It has long, narrow leaves.
 Clue 3: It has long, slender roots.
 Clue 4: It has flowers with four petals.",Arrowhead<|end_of_text|>,Biology,,,,5
No,None,A plant that grows in a desert is called a xerophyte. What type of adaptation does it have to survive in the desert?,It has a small leaf surface area to minimise water loss by transpiration.<|end_of_text|>,Biology,,,,1
No,None,Clue: It is a form of chemical energy stored in the body of living organisms.,Glucose<|end_of_text|>,,,,,5
No,None,"A common name for the organ that produces sperm in mammals.
 Clue 1: It is located in the male reproductive system.
 Clue 2: It is not the testes.
 Clue 3: It is the organ that produces sperm.
 Clue 4: It is located in the scrotum.",Epididymis<|end_of_text|>,Biology,,,,5
No,None,"A plant that is self-pollinating and has male and female organs in the same flower
 Clue 1: It is a type of flower
 Clue 2: It is a type of plant
 Clue 3: It is a type of plant that can produce seeds without the help of pollinators
 Clue 4: It is a type of plant that produces flowers that are bisexual",Hermaphrodite<|end_of_text|>,,,,,5
No,None,"A plant that is self-pollinating and has male and female organs in the same flower
 Clue 1: It is a type of flower
 Clue 2: It is a type of plant
 Clue 3: It is a type of plant that can produce seeds without the help of pollinators
 Clue 4: It is a type of plant that produces flowers that are bisexual",Hermaphrodite<|end_of_text|>,,,,,5
No,None,What is the name given to a group of organisms that belong to the same species?,Population<|end_of_text|>,,,,,1
No,None,"The first stage of mitosis is
 Clue 1: When the cell is preparing for division
 Clue 2: It is also called the problem or prophase
 Clue 3: The chromosomes become visible
 Clue 4: The nuclear envelope breaks down",Prophase<|end_of_text|>,Biology,,,,5
No,None,"The first stage of mitosis is
 Clue 1: When the cell is preparing for division
 Clue 2: It is also called the problem or prophase
 Clue 3: The chromosomes become visible
 Clue 4: The nuclear envelope breaks down",Prophase<|end_of_text|>,Biology,,,,5
No,None,"The first stage of mitosis is
 Clue 1: When the cell is preparing for division
 Clue 2: It is also called the problem or prophase
 Clue 3: The chromosomes become visible
 Clue 4: The nuclear envelope breaks down",Prophase<|end_of_text|>,Biology,,,,5
No,None,"The term ""sensory adaptation"" is used to describe the ability of sensory cells to adjust their sensitivity to a stimulus.
 Clue 1: Sensory cells adjust their sensitivity by increasing or decreasing their response to a stimulus.
 Clue 2: Sensory adaptation is a physiological mechanism by which sensory cells adjust their sensitivity to a stimulus.
 Clue 3: Sensory adaptation occurs when sensory cells adjust their sensitivity to a stimulus by increasing or decreasing their response to it.
 Clue 4: Sensory adaptation is a physiological mechanism by which sensory cells adjust their sensitivity to a stimulus.",Sensory adaptation<|end_of_text|>,,,,,5
No,None,What name is given to the part of the cell wall of a plant cell that is responsible for rapid growth?,Middle lamella<|end_of_text|>,Biology,,,,1
No,None,"Name the structure of the heart that pumps blood to the lungs.
 Clue 1: It is a chamber in the heart.
 Clue 2: It is on the left side of the heart.
 Clue 3: It receives blood from the heart.
 Clue 4: It is connected to the heart by the pulmonary vein.",Left atrium<|end_of_text|>,Biology,,,,5
No,None,"Name the structure of the heart that pumps blood to the lungs.
 Clue 1: It is a chamber in the heart.
 Clue 2: It is on the left side of the heart.
 Clue 3: It receives blood from the heart.
 Clue 4: It is connected to the heart by the pulmonary vein.",Left atrium<|end_of_text|>,Biology,,,,5
No,None,"Name the type of cells that produce the cuticle of the epidermis.
 Clue 1: They are found in the epidermis of leaves, stems, roots, flowers and fruits.
 Clue 2: They are closely associated with guard cells.
 Clue 3: They are found in the dermal tissue of plants.
 Clue 4: They are called so because of their shape.",Pallet cells<|end_of_text|>,,,,,5
No,None,"Name the type of cells that produce the cuticle of the epidermis.
 Clue 1: They are found in the epidermis of leaves, stems, roots, flowers and fruits.
 Clue 2: They are closely associated with guard cells.
 Clue 3: They are found in the dermal tissue of plants.
 Clue 4: They are called so because of their shape.",Pallet cells<|end_of_text|>,,,,,5
No,None,"Name the type of cells that produce the cuticle of the epidermis.
 Clue 1: They are found in the epidermis of leaves, stems, roots, flowers and fruits.
 Clue 2: They are closely associated with guard cells.
 Clue 3: They are found in the dermal tissue of plants.
 Clue 4: They are called so because of their shape.",Pallet cells<|end_of_text|>,,,,,5
No,None,"Name the type of cells that produce the cuticle of the epidermis.
 Clue 1: They are found in the epidermis of leaves, stems, roots, flowers and fruits.
 Clue 2: They are closely associated with guard cells.
 Clue 3: They are found in the dermal tissue of plants.
 Clue 4: They are called so because of their shape.",Pallet cells<|end_of_text|>,,,,,5
No,None,What is the name given to the region where the nucleus and cytoplasm of a cell meet?,Nucleolus<|end_of_text|>,,,,,1
No,None,The most common element in the universe is,Hydrogen<|end_of_text|>,,,,,1
No,None,"The first cell to be formed from the zygote of a flowering plant is a(n) __________.
 Clue 1: The cell is formed from the zygote
 Clue 2: It is the first cell formed from the zygote
 Clue 3: It is a diploid cell
 Clue 4: It is a meristematic cell",Embryo Sac Mother Cell<|end_of_text|>,,,,,5
No,None,The first living organism on Earth.,Bacteria<|end_of_text|>,,,,,1
No,None,The first living organism on Earth.,Bacteria<|end_of_text|>,,,,,1
No,None,The second cell wall of a dividing plant cell is,Secondary<|end_of_text|>,,,,,1
No,None,The only organism that can survive in the vacuum of space.,A bacterium<|end_of_text|>,,,,,1
No,None,Clue: A type of DNA polymerase that is responsible for proofreading during DNA replication.,DNA Polymerase III<|end_of_text|>,,,,,5
No,None,"What are the most common types of molecules in the cell?
 Clue 1: They are made of carbon, hydrogen, and oxygen.
 Clue 2: They are not proteins.
 Clue 3: They are present in the cell in large amounts.
 Clue 4: They are the main components of cell membranes and cell walls.",Lipids<|end_of_text|>,,,,,5
No,None,"Name the type of cell division in which the daughter cells are genetically identical to the parent cell.
 Clue 1: Mitosis
 Clue 2: Meiosis
 Clue 3: Prokaryotic cell division
 Clue 4: Eukaryotic cell division",Mitosis<|end_of_text|>,,,,,5
No,None,"Name the type of cell division in which the daughter cells are genetically identical to the parent cell.
 Clue 1: Mitosis
 Clue 2: Meiosis
 Clue 3: Prokaryotic cell division
 Clue 4: Eukaryotic cell division",Mitosis<|end_of_text|>,,,,,5
No,None,The first cell of the embryo is called,zygote<|end_of_text|>,Biology,,,,1
No,None,"Name the structure in the human body that contains the highest concentration of potassium ions.
 Clue 1: It is a fluid filled sac
 Clue 2: It is in the middle of the head
 Clue 3: It is a part of the brain
 Clue 4: It is a part of the nervous system",Cerebrospinal fluid<|end_of_text|>,,,,,5
No,None,"The structure that produces the sperm in a male is called a/an
 Clue 1: The structure
 Clue 2: Produces the sperm
 Clue 3: In a male
 Clue 4: It is called a/an",Testis<|end_of_text|>,,,,,5
No,None,Name the process by which the energy stored in ATP is used to drive the movement of substances into and out of cells.,Active transport<|end_of_text|>,,,,,1
No,None,A substance that is not broken down by the body.,Nutrient<|end_of_text|>,,,,,1
No,None,Which type of cells are most likely to be found in the epidermis of a leaf?,Meristematic cells<|end_of_text|>,Biology,,,,1
No,None,"What is the name of the disease caused by a virus that is transmitted by mosquitoes?
 Clue 1: The name of the disease is the same as the name of the virus
 Clue 2: The virus causes the disease
 Clue 3: The disease is caused by a virus that is transmitted by mosquitoes
 Clue 4: The name of the virus is the same as the name of the disease",Zika<|end_of_text|>,,,,,5
No,None,"What name is given to the first cell of a multicellular organism?
 Clue 1: The first cell of a multicellular organism is called the zygote.
 Clue 2: The zygote develops into a blastula, a hollow ball of cells.
 Clue 3: The blastula then develops into a gastrula, a hollow ball of cells with a cavity.
 Clue 4: The gastrula then develops into a blastula, a hollow ball of cells.",Zygote<|end_of_text|>,,,,,5
No,None,"What name is given to the first cell of a multicellular organism?
 Clue 1: The first cell of a multicellular organism is called the zygote.
 Clue 2: The zygote develops into a blastula, a hollow ball of cells.
 Clue 3: The blastula then develops into a gastrula, a hollow ball of cells with a cavity.
 Clue 4: The gastrula then develops into a blastula, a hollow ball of cells.",Zygote<|end_of_text|>,,,,,5
No,None,"Name the type of cells that are responsible for the formation of the placenta in mammals.
 Clue 1: They are derived from the trophoblast.
 Clue 2: They are the cells that surround the developing embryo.
 Clue 3: They are the cells that form the chorion.
 Clue 4: They are the cells that produce the placenta.",Syncytiotrophoblasts<|end_of_text|>,,,,,5
No,None,A feature that is shared by all members of a species.,Characteristic<|end_of_text|>,,,,,1
No,None,A feature that is shared by all members of a species.,Characteristic<|end_of_text|>,,,,,1
No,None,"A substance that can be used as a substrate by an enzyme.
 Clue 1: The substrate is converted into a product by the enzyme
 Clue 2: The product can be used by the organism for a purpose
 Clue 3: The product is not the same as the substrate
 Clue 4: The product is formed by the enzyme",Substrate<|end_of_text|>,,,,,5
No,None,"Name the process in which a plant cell becomes a wall cell.
 Clue 1: It is a type of programmed cell death.
 Clue 2: It is a type of necrosis.
 Clue 3: It is a type of autolysis.
 Clue 4: It is a type of apoptosis.",Pectolysis<|end_of_text|>,,,,,5
No,None,"The first one to be discovered.
 Clue 1: It is the smallest.
 Clue 2: It is the only one that is not a mammal.
 Clue 3: It is the only one that is not a primate.
 Clue 4: It is the only one that is not a placental animal.",Mouse<|end_of_text|>,,,,,5
No,None,"What is the name of the organelle that produces energy for the cell?
 Clue 1: It is also known as the power house of the cell.
 Clue 2: It is a membrane-bound organelle.
 Clue 3: It contains DNA.
 Clue 4: It is present in both prokaryotes and eukaryotes.",Mitochondria<|end_of_text|>,Biology,,,,5
No,None,"What is the name of the structure where the DNA is stored in the nucleus of the cell?
 Clue 1: It is a large, membrane bound organelle
 Clue 2: It is found in the nucleus
 Clue 3: It is made up of proteins and nucleic acids
 Clue 4: It is the site of DNA replication and transcription",Nucleus<|end_of_text|>,Biology,,,,5
