has_preamble,preamble_text,question,answer,subject,question_type,form,difficulty,subject_topic
No,,"Calculate the mass in grams of ethanedioic acid dihydrate needed to prepare $200 \mathrm{~cm}^{3}$ of $0.700 \mathrm{moldm}^{-3}$
solution. $\mathrm{O}=16.0 ; \mathrm{C}=12.0 ; \mathrm{H}=1.00$.","Ethanedioic acid $\quad=\quad \mathrm{H}_{2} \mathrm{C}_{2} \mathrm{O}_{4} \cdot 2 \mathrm{H}_{2} \mathrm{O}=2.00+24.0+64.0+36.0 \quad 126$
Mass of the acid needed to prepare $1.00 \mathrm{dm}^{3}$ of a $0.700 \mathrm{moldm}^{-3}$ solution $=126^{*} 0.700=88.2 \mathrm{~g}$
$\therefore$ Mass needed to prepare $200 \mathrm{~cm}^{3}$ of 0.700 moldm $^{-3}=0.200 * 88.2=17.6 \mathrm{~g}$",Chemistry,1,NY,NY,NY
No,,"Calculate the final concentration of $\mathrm{HCl}$ in moldm ${ }^{-3}$ when $150 \mathrm{~cm}^{3}$ of $6.00 \mathrm{moldm}^{-3} \mathrm{HCl}$ are diluted with 250 $\mathrm{cm}^{3}$ of de-ionised water and $100 \mathrm{~cm}^{3}$ of this solution, further diluted to $300 \mathrm{~cm}^{3}$.","$1^{\text {st }}$ Dilution: $150 \mathrm{~cm}^{3}$ to $400 \mathrm{~cm}^{3} ; \quad$ Dilution factor $\quad=\quad$ in 8
$2^{\text {nd }}$ Dilution: $100 \mathrm{~cm}^{3}$ to $300 \mathrm{~cm}^{3}$; Dilution factor $\quad=1$ in 3
Total dilution factor $=\frac{3}{8} \times \frac{1}{3}=\frac{1}{8}$
Final concentration $=\frac{6.00}{8.00}=0.750$ moldm $^{-3}$",Chemistry,1,NY,NY,NY
Yes,Find the range of the given function,$y=4 x^{2}-12 x+20$,"$\{y: y \geq 11\}$
$\left[y=4 x^{2}-12 x+9+11=(2 x-3)^{2}+11\right.$, hence $\left.y \geq 11\right]$",Mathematics,1,NY,NY,NY
Yes,Find the range of the given function,$y=7-9 x^{2}+12 x$,"$\{y: y \leq 11\}$
$\left[y=7-\left(9 x^{2}-12 x+4\right)+4=11-(3 x-2)^{2}\right.$, hence $\left.y \leq 11\right]$",Mathematics,1,NY,NY,NY
Yes,Find the range of the given function,$y=16 x^{2}+40 x+20$,"$\{y: y \geq-5\}$
$\left[y=16 x^{2}+40 x+25-5=(4 x+5)^{2}-5\right.$, hence $\left.y \geq-5\right]$",Mathematics,1,NY,NY,NY
Yes,"A linear transformation is defined by $T:(x, y) \rightarrow(2 x+y, 3 x-2 y)$. Find the coordinates of the point $P(x, y)$ whose image under $T$ is the point $A$ given","$\mathrm{~A}(1,5) \quad$","$P(1,-1)$
$[2 x+y=1,3 x-2 y=5,4 x+2 y=2,7 x=7, x=1, y=1-2 x=-1$,
hence $P(1,-1)$ ]",Mathematics,1,NY,NY,NY
Yes,"A linear transformation is defined by $T:(x, y) \rightarrow(2 x+y, 3 x-2 y)$. Find the coordinates of the point $P(x, y)$ whose image under $T$ is the point $A$ given","$\mathrm{~A}(1,12) \quad$","$P(2,-3)$
$[2 x+y=1,3 x-2 y=12,4 x+3 x=14, x=2, y=1-4=-3$, hence $P(2,-3)]$",Mathematics,1,NY,NY,NY
Yes,"A linear transformation is defined by $T:(x, y) \rightarrow(2 x+y, 3 x-2 y)$. Find the coordinates of the point $P(x, y)$ whose image under $T$ is the point $A$ given","$A(-2,-10) \quad$","P(-2, 2)
$[2 x+y=-2,3 x-2 y=-10,4 x+3 x=-4-10, x=-2, y=-2 x-2=4-2=2$, hence $P(-2,2)$ ]",Mathematics,1,NY,NY,NY
Yes,Mention whether mitosis or meiosis is the cell division that occurs during the following processes in the life cycle of ferns.,Production of spores by the sporophyte,Meiosis,Biology,1,NY,NY,NY
Yes,Mention whether mitosis or meiosis is the cell division that occurs during the following processes in the life cycle of ferns.,Growing of spores into photosynthetic prothallus (gametophyte),Mitosis,Biology,1,NY,NY,NY
Yes,Mention whether mitosis or meiosis is the cell division that occurs during the following processes in the life cycle of ferns.,Production of gametes by the prothallus,Mitosis (Meiosis is not needed because the cells are already haploid.),Biology,1,NY,NY,NY
Yes,Arrange the following to indicate their logical sequence of occurrence,"Ear ossicles, oval window, tympanum, auditory canal, cochlea.","Auditory canal, Tympanum, Ear ossicles, oval window, cochlea.",Biology,1,NY,NY,NY
Yes,Arrange the following to indicate their logical sequence of occurrence,"Implantation, fertilization, ovulation, gestation.","Ovulation, fertilization, Implantation, gestation",Biology,1,NY,NY,NY
Yes,Arrange the following to indicate their logical sequence of occurrence,"Photomorphogenesis, Activation of enzymes, Shoot emerges, Root emerges, Imbibition of water","Imbibition of water, Activation of enzymes, Root emerges, Shoot emerges, Photomorphogenesis.",Biology,1,NY,NY,NY
No,,A tuned circuit with a tunable capacitor set to a capacitance of $5 p F$ has a resonance frequency of $14 \mathrm{kHz}$. Find the resonance frequency of the circuit when the capacitance is increased to $20 \mathrm{pF}$.,"$7 \mathrm{kHz}$
$$
f_{2}=f_{1}
$$",Physics,1,NY,NY,NY
No,,Another tuned circuit with a variable inductance has a resonance frequency of $99 \mathrm{MHz}$ when its capacitance is tuned to $11 \mathrm{pF}$. What is the inductance in the circuit?,"$2.3 \times 10^{-7} H$
$$
L=\frac{1}{4 \pi^{2} f^{2} C}=1 /\left(4 \pi^{2} \times\left(100 \times 10^{6} \mathrm{~Hz}\right)^{2} \times 11.04 \times 10^{-12} \mathrm{~F}\right)=2.3 \times 10^{-7} \mathrm{H}
$$",Physics,1,NY,NY,NY
No,,"If the inductor in a tuned circuit were tuned to $5.0 \times 10^{-7} H$ and the capacitor to $72 p F$, what would the resonance frequency of the tuned circuit be?",$27 \mathrm{MHz}$,Physics,1,NY,NY,NY
Yes,A diffraction grating ruled with 500 lines per $\mathrm{mm}$ is illuminated at normal incidence with white light.,Find the wavelength diffracted at an angle of diffraction of $60.0^{\circ}$ in first order.,"$1.73 \mu m$
$$
\lambda=\sin \theta_{d} / \mathrm{mg}=\sin 60.0^{\circ} /\left(1 \times 500 \mathrm{~mm}^{-1}\right)=1.73 \times 10^{-3} \mathrm{~mm}=1.73 \mu \mathrm{m}
$$",Physics,1,NY,NY,NY
Yes,A diffraction grating ruled with 500 lines per $\mathrm{mm}$ is illuminated at normal incidence with white light.,Find the wavelength diffracted at an angle of diffraction of $45.0^{\circ}$ in second order.,"$707 \mathrm{~nm}$
$$
\lambda=\sin \theta_{d} / \mathrm{mg}=\sin 45.0 \%\left(2 \times 500 \mathrm{~mm}^{-1}\right)=7.07 \times 10^{-4} \mathrm{~mm}=707 \mathrm{~nm}
$$",Physics,1,NY,NY,NY
Yes,A diffraction grating ruled with 500 lines per $\mathrm{mm}$ is illuminated at normal incidence with white light.,Find the wavelength diffracted at an angle of diffraction of $30.0^{\circ}$ in third order.,"$333 \mathrm{~nm}$
$$
\lambda=\sin \theta_{d} / \mathrm{mg}=\sin 30.0^{\circ} /\left(3 \times 500 \mathrm{~mm}^{-1}\right)=3.33 \times 10^{-4} \mathrm{~mm}=333 \mathrm{~nm}
$$",Physics,1,NY,NY,NY
Yes,"Each school will be presented with a hydride. State giving the reason if the hydride is ionic or partly ionic, partly covalent, or covalent.",Beryllium hydride,"Partly ionic, (partly covalent). The electronegativity difference is not large ( $\mathrm{Be} \quad 1.5 ; \quad \mathrm{H} \quad$ 2.1)",Chemistry,1,NY,NY,NY
Yes,"Each school will be presented with a hydride. State giving the reason if the hydride is ionic or partly ionic, partly covalent, or covalent.",Phosphine,Covalent. The electronegativity difference is almost zero. $\quad\left(\begin{array}{lllll}\mathrm{P} & 2.1 ; & \mathrm{H} & \text { 2.1 }\end{array}\right.$,Chemistry,1,NY,NY,NY
Yes,"Each school will be presented with a hydride. State giving the reason if the hydride is ionic or partly ionic, partly covalent, or covalent.",Sodium hydride,Ionic. Large electronegativity difference. $\quad\left(\begin{array}{llll}\mathrm{Na} & 0.9 ; & \mathrm{H} & 2.1\end{array}\right)$,Chemistry,1,NY,NY,NY
Yes,"Each school will be presented with two half-cells with their corresponding electrode potentials.
Give the balanced equation for the cell reaction of a voltaic cell that can be set up with the halfcells. Give the maximum initial emf of the cell.","$\mathrm{Zn}(\mathrm{CN})_{4^{2-}}, \mathrm{CN} / \mathrm{Zn}, \quad-1.26 \mathrm{~V} ; \mathrm{Au}^{3+} / \mathrm{Au} \quad \rightarrow \quad \mathrm{Au}, \quad 1.42 \mathrm{~V}$","Oxidation: $\mathrm{Zn}-2 \mathrm{e}+4 \mathrm{CN}^{-} \rightarrow \mathrm{Zn}(\mathrm{CN})_{4^{2-}} \quad 1.26 \mathrm{~V}$.... (1)
Reduction: $\mathrm{Au}^{3+}+3 \mathrm{e} \rightarrow \mathrm{Au} \quad 1.42 \mathrm{~V}$
Multiply (1) by 3 and (2) by 2 and add.
Cell reaction: $\quad 3 \mathrm{Zn}+12 \mathrm{CN}^{-}+2 \mathrm{Au}^{3+} \rightarrow 3 \mathrm{Zn}(\mathrm{CN})_{4^{2-}}+2 \mathrm{Au}$
$\mathrm{Emf}=1.26+1.42=2.68 \mathrm{~V}$",Chemistry,1,NY,NY,NY
Yes,"Each school will be presented with two half-cells with their corresponding electrode potentials.
Give the balanced equation for the cell reaction of a voltaic cell that can be set up with the halfcells. Give the maximum initial emf of the cell.","$\mathrm{Al}^{3+} / \mathrm{Al}-1.71 \mathrm{~V} ; \quad \mathrm{SO}_{4}{ }^{2-}, \mathrm{SO}_{3}{ }^{2-}, \mathrm{OH} / \mathrm{Pt} \quad-0.920 \mathrm{~V}$.","Oxidation: $\mathrm{Al} \quad-\quad 3 \mathrm{e} \quad \rightarrow \quad \mathrm{Al}^{3+}$; Reduction: $\mathrm{SO}_{4}{ }^{2-}+2 \mathrm{e}+\mathrm{H}_{2} \mathrm{O} \rightarrow \mathrm{SO}_{3}{ }^{2-}+2 \mathrm{OH} ;-0.920 \mathrm{~V} \ldots$ (2)
Multiply (1) by 2 and (2) by 3 and add
Hence, Cell Reaction: $2 \mathrm{Al}+3 \mathrm{SO}_{4}{ }^{2-}+3 \mathrm{H}_{2} \mathrm{O} \rightarrow 2 \mathrm{Al}^{3+}+3 \mathrm{SO}_{3}{ }^{2-}+6 \mathrm{OH}$
Emf $\quad=\quad 1.71-0.920=+0.790 \mathrm{~V}$",Chemistry,1,NY,NY,NY
Yes,"Each school will be presented with two half-cells with their corresponding electrode potentials.
Give the balanced equation for the cell reaction of a voltaic cell that can be set up with the halfcells. Give the maximum initial emf of the cell.","$\mathrm{H}_{2} \mathrm{O}_{2}, \mathrm{OH}^{-} / \mathrm{Pt} \quad 0.880 \mathrm{~V} ; \quad \mathrm{HNO}_{2}, \mathrm{~N}_{2} \mathrm{O}, \mathrm{H}^{+} / \mathrm{Pt} \quad 1.27 \mathrm{~V}$.","Oxidation: $2 \mathrm{OH}^{-}-\quad 2 \mathrm{e} \quad \rightarrow \quad \mathrm{H}_{2} \mathrm{O}_{2} \quad-0.880 \mathrm{~V} \ldots$ (1)
Reduction: $2 \mathrm{HNO}_{2}+4 \mathrm{e}+4 \mathrm{H}^{+} \rightarrow \mathrm{N}_{2} \mathrm{O}+3 \mathrm{H}_{2} \mathrm{O}+1.27 \mathrm{~V} \ldots$ (2)
Multiply (1) by 2 and add to (2)
Hence, Cell Reaction:
$\left(2 \mathrm{HNO}_{2}+4 \mathrm{OH}^{-}+4 \mathrm{H}^{+} \rightarrow 2 \mathrm{H}_{2} \mathrm{O}_{2}+\mathrm{N}_{2} \mathrm{O}+3 \mathrm{H}_{2} \mathrm{O}\right)$
$2 \mathrm{HNO}_{2}+\mathrm{H}_{2} \mathrm{O} \rightarrow 2 \mathrm{H}_{2} \mathrm{O}_{2}+\mathrm{N}_{2} \mathrm{O} \quad$ (Correct equation)
Emf $\quad=(1.27-0.880) \mathrm{V}=0.390 \mathrm{~V}$",Chemistry,1,NY,NY,NY
Yes,Give the habitats of the following groups of fungi,Zygomycota,Terrestrial / Land,Biology,1,NY,NY,NY
Yes,Give the habitats of the following groups of fungi,Chytridiomycota,Aquatic,Biology,1,NY,NY,NY
Yes,Give the habitats of the following groups of fungi,Basidiomycota,Terrestrial / Land,Biology,1,NY,NY,NY
Yes,State the process or terms to which the following descriptions refer,Mild chemical applied on the skin to kill germs,Antiseptic,Biology,1,NY,NY,NY
Yes,State the process or terms to which the following descriptions refer,The process by which plants lose water in liquid form,Guttation,Biology,1,NY,NY,NY
Yes,State the process or terms to which the following descriptions refer,A pair of chromosomes carrying dissimilar alleles for a particular character.,Heterozygous,Biology,1,NY,NY,NY
Yes,Solve the cubic equation,$x^{3}-3 x^{2}-25 x+75=0$,"$x=5,-5,3$
$\left[x^{2}(x-3)-25(x-3)=(x-5)(x+5)(x-3)=0, x=5,-5,3\right]$",Mathematics,1,NY,NY,NY
Yes,Solve the cubic equation,$x^{3}-2 x^{2}-16 x+32=0$,"$x=4,-4,2$
$\left[x^{2}(x-2)-16(x-2)=(x-2)(x-4)(x+4)=0, x=4,-4,2\right]$",Mathematics,1,NY,NY,NY
Yes,Solve the cubic equation,$x^{3}-2 x^{2}-15 x=0$,"$x=5,-3,0$
$\left[x\left(x^{2}-2 x-15\right)=x(x-5)(x+3)=0, x=5,-3,0\right]$",Mathematics,1,NY,NY,NY
Yes,Differentiate the rational function with respect to $\mathrm{x}$.,$y=(2 x+3) /(2 x-1)$,"$\mathrm{dy} / \mathrm{dx}=-8 /(2 x-1)^{2}$
$\left[d y / d x=[2(2 x-1)-2(2 x+3)] /(2 x-1)^{2}=-8 /(2 x-1)^{2}\right]$",Mathematics,1,NY,NY,NY
Yes,Differentiate the rational function with respect to $\mathrm{x}$.,$y=(x+5) /(2 x+3)$,"$d y / d x=-7 /(2 x+3)^{2}$
$\left[d y / d x=[1(2 x+3)-2(x+5)] /(2 x+3)^{2}=-7 /(2 x+3)^{2}\right]$",Mathematics,1,NY,NY,NY
Yes,Differentiate the rational function with respect to $\mathrm{x}$.,$y=(5 x+2) /(2 x-3)$,"$d y / d x=-19 /(2 x-3)^{2}$
$\left[d y / d x=[5(2 x-3)-2(5 x+2)] /(2 x-3)^{2}=-19 /(2 x-3)^{2}\right]$",Mathematics,1,NY,NY,NY
Yes,An object of mass $0.2 \mathrm{~kg}$ moves with a constant acceleration.,Find the work done on the object by the net force acting on it when its velocity changes from $-2 \mathrm{~ms}^{-1}$ to $8 \mathrm{~ms}^{-1}$.,"$6 J$
$$
W=m\left(v^{2}-u^{2}\right) / 2=0.2 \mathrm{~kg} \times\left[\left(8 m s^{-1}\right)^{2}-\left(-2 \mathrm{~ms}^{-1}\right)^{2}\right] / 2=6 \mathrm{~J}
$$",Physics,1,NY,NY,NY
Yes,An object of mass $0.2 \mathrm{~kg}$ moves with a constant acceleration.,Find the work done on the object by the net force acting on it when its velocity changes from $2 \mathrm{~ms}^{-1}$ to $8 m s^{-1}$.,"$6 J$
$$
W=m\left(v^{2}-u^{2}\right) / 2=0.2 \mathrm{~kg} \times\left[\left(8 m s^{-1}\right)^{2}-\left(2 m s^{-1}\right)^{2}\right] / 2=6 \mathrm{~J}
$$",Physics,1,NY,NY,NY
Yes,An object of mass $0.2 \mathrm{~kg}$ moves with a constant acceleration.,Find the work done on the object by the net force acting on it when its velocity changes from $-2 \mathrm{~ms}^{-1}$ to $2 \mathrm{~ms}^{-1}$.,"0
$$
W=m\left(v^{2}-u^{2}\right) / 2=0.2 \mathrm{~kg} \times\left[\left(2 m s^{-1}\right)^{2}-\left(-2 m s^{-1}\right)^{2}\right] / 2=0
$$",Physics,1,NY,NY,NY
Yes,A $5.0 \mathrm{~kg}$ object hangs from the roof of a horizontally moving vehicle by means of a light inextensible string.,Find the tension in the string when the acceleration of the vehicle is $24 \mathrm{~m} \mathrm{~s}^{-2}$.,$130 N$,Physics,1,NY,NY,NY
Yes,A $5.0 \mathrm{~kg}$ object hangs from the roof of a horizontally moving vehicle by means of a light inextensible string.,Find the tension in the string when the acceleration of the vehicle is $2.25 \mathrm{~m} \mathrm{~s}^{-2}$.,$51 N$,Physics,1,NY,NY,NY
Yes,A $5.0 \mathrm{~kg}$ object hangs from the roof of a horizontally moving vehicle by means of a light inextensible string.,Find the tension in the string when the acceleration of the vehicle is $10.5 \mathrm{~m} \mathrm{~s}^{-2}$.,"$73 N$
Accept $72.5 N$",Physics,1,NY,NY,NY
No,,A version of Graham's Law of Diffusion states that the rate of diffusion of a gas at constant temperature and pressure is indirectly proportional to the square root of the density of the gas. Explain why the rate of diffusion can also to be indirectly proportional to the square root of the molar mass of the gas.,"Equal volumes of different gases contain the same number of particles. Therefore, moles per unit volume at a given temperature and pressure is constant. Hence the densities of gases are directly proportional to their molar masses.
[ALTERNATIVELY, density $=\frac{\text { mass }}{V}$, But mass $=$ molar mass $*$ number of moles Density $=\left(\frac{\text { number of moles }}{V}\right) *$ Molar mass, But for different gases $\quad\left(\frac{\text { number of moles }}{V} \right.$ is constant, $\quad$ Hence Density $\propto$ Molar mass ]",Chemistry,1,NY,NY,NY
No,,Discuss how the Kinetic (Molecular) Theory can be used to explain the Graham's law of Diffusion or Effusion.,"The postulate states that the temperature of a gaseous particle depends only on the average kinetic energy. At the same temperature and pressure, the average kinetic energy of all gases is the same. Therefore, for gases $A$ and $B$;
$$
\frac{1}{2} M_{a} V_{a}^{2}=\frac{1}{2} M_{b} V_{b}^{2} ; \quad\left(\frac{V_{a}}{V_{b}}\right)^{2}=\quad \frac{M_{b}}{M_{a}} \operatorname{Or} \frac{V_{a}}{V_{b}}=\quad \sqrt{\frac{M_{b}}{M_{a}}}
$$",Chemistry,1,NY,NY,NY
No,,"At low temperatures or high pressures real gases deviate from the ideal gas behavior, why?","At high pressures gases occupy low volumes; the volumes occupied by the gaseous particles are no longer negligible. At low temperatures and high pressures, the gaseous molecules are close to one another and intermolecular forces of attraction and repulsion affect the actual pressures.",Chemistry,1,NY,NY,NY
Yes,"$\mathrm{CO}$ gas reacts with gaseous ammonia according to the following equation.
$\mathrm{CO}_{(\mathrm{g})}+\mathrm{NH}_{3(\mathrm{~g})} \rightarrow \mathrm{HCN}_{(\mathrm{g})}+\mathrm{H}_{2} \mathrm{O}_{(\mathrm{g})}$
Consider the following bond energies all in $\mathrm{kJmol}^{-1}$
$\mathrm{C} \equiv \mathrm{N} \quad 891 ; \quad \mathrm{C} \equiv \mathrm{O} \quad 1075 ; \quad \mathrm{C}-\mathrm{H} \quad 415 ; \quad \mathrm{N}-\mathrm{H} \quad 390 ; \mathrm{O}-\mathrm{H} 464$.",Calculate the energy required to break all the necessary bonds during the reaction.,"$\mathrm{CO}_{(\mathrm{g})}+\mathrm{NH}_{3(\mathrm{~g})} \rightarrow \mathrm{HCN}_{(\mathrm{g})}+\mathrm{H}_{2} \mathrm{O}_{(\mathrm{g})}$
Bonds to be broken $=\quad 1 \mathrm{C} \equiv \mathrm{O}+3 \mathrm{~N}-\mathrm{H}$
Energy required $=1075+3 * 390=2,245$ or $2.25^{*} 10^{3} \mathrm{~kJ}$",Chemistry,1,NY,NY,NY
Yes,"$\mathrm{CO}$ gas reacts with gaseous ammonia according to the following equation.
$\mathrm{CO}_{(\mathrm{g})}+\mathrm{NH}_{3(\mathrm{~g})} \rightarrow \mathrm{HCN}_{(\mathrm{g})}+\mathrm{H}_{2} \mathrm{O}_{(\mathrm{g})}$
Consider the following bond energies all in $\mathrm{kJmol}^{-1}$
$\mathrm{C} \equiv \mathrm{N} \quad 891 ; \quad \mathrm{C} \equiv \mathrm{O} \quad 1075 ; \quad \mathrm{C}-\mathrm{H} \quad 415 ; \quad \mathrm{N}-\mathrm{H} \quad 390 ; \mathrm{O}-\mathrm{H} 464$.",Calculate the energy required to form all the new bonds during the reaction.,"$\quad$ Bonds formed $=\quad 1 \mathrm{C} \equiv \mathrm{N}+1 \mathrm{C}-\mathrm{H}+2 \mathrm{O}-\mathrm{H}$
$$
=-891+(-415)+(2 *-464) \quad=\quad-2,234 \text { or }-2.23 * 10^{3} \mathrm{~kJ}
$$",Chemistry,1,NY,NY,NY
Yes,"$\mathrm{CO}$ gas reacts with gaseous ammonia according to the following equation.
$\mathrm{CO}_{(\mathrm{g})}+\mathrm{NH}_{3(\mathrm{~g})} \rightarrow \mathrm{HCN}_{(\mathrm{g})}+\mathrm{H}_{2} \mathrm{O}_{(\mathrm{g})}$
Consider the following bond energies all in $\mathrm{kJmol}^{-1}$
$\mathrm{C} \equiv \mathrm{N} \quad 891 ; \quad \mathrm{C} \equiv \mathrm{O} \quad 1075 ; \quad \mathrm{C}-\mathrm{H} \quad 415 ; \quad \mathrm{N}-\mathrm{H} \quad 390 ; \mathrm{O}-\mathrm{H} 464$.",Calculate the enthalpy change when $136 \mathrm{~g}$ of ammonia react with excess CO gas when the energy required to break the bonds is $+2245 \mathrm{kJmol}^{-1}$ and energy given out is $-2234 \mathrm{kJmol}^{-1} .\mathrm{N}=14.0 ; \mathrm{H}=1.00$,"Enthalpy change per mole $=\quad+2245-2234=\quad+11.0 \mathrm{~kJ}$
Moles of ammonia $\quad=136 / 17.0=8.00$
Enthalpy change for 8.00 moles $=\quad+88.0 \mathrm{~kJ}$",Chemistry,1,NY,NY,NY
